Date,Open,High,Low,Close,Adj Close,Volume
9/17/2007,4518.450195,4549.049805,4482.850098,4494.649902,4494.649902,0
9/18/2007,4494.100098,4551.799805,4481.549805,4546.200195,4546.200195,0
9/19/2007,4550.25,4739,4550.25,4732.350098,4732.350098,0
9/20/2007,4734.850098,4760.850098,4721.149902,4747.549805,4747.549805,0
9/21/2007,4752.950195,4855.700195,4733.700195,4837.549805,4837.549805,0
9/24/2007,4837.149902,4941.149902,4837.149902,4932.200195,4932.200195,0
9/25/2007,4939.100098,4953.899902,4878.149902,4938.850098,4938.850098,0
9/26/2007,4937.600098,4980.850098,4930.350098,4940.5,4940.5,0
9/27/2007,4942.700195,5016.399902,4942.700195,5000.549805,5000.549805,0
9/28/2007,4996.450195,5055.799805,4996.450195,5021.350098,5021.350098,0
10/1/2007,5021.5,5089.299805,5001.350098,5068.950195,5068.950195,0
10/3/2007,5069,5261.350098,5034.149902,5210.799805,5210.799805,0
10/4/2007,5211.649902,5233.100098,5126.049805,5208.649902,5208.649902,0
10/5/2007,5208.149902,5248.549805,5164.5,5185.850098,5185.850098,0
10/8/2007,5186.25,5249.299805,5024.75,5085.100098,5085.100098,0
10/9/2007,5062.649902,5348.700195,5000.950195,5327.25,5327.25,0
10/10/2007,5328.149902,5454.700195,5328.149902,5441.450195,5441.450195,0
10/11/2007,5438.899902,5532.75,5424.25,5524.850098,5524.850098,0
10/12/2007,5525.299805,5549.299805,5402.600098,5428.25,5428.25,0
10/15/2007,5428.350098,5682.649902,5419.899902,5670.399902,5670.399902,0
10/16/2007,5670.649902,5708.350098,5578.450195,5668.049805,5668.049805,0
10/17/2007,5658.899902,5658.899902,5107.299805,5559.299805,5559.299805,0
10/18/2007,5551.100098,5736.799805,5269.649902,5351,5351,0
10/19/2007,5360.350098,5390.850098,5101.75,5215.299805,5215.299805,0
10/22/2007,5202.75,5247.399902,5070.899902,5184,5184,0
10/23/2007,5185.299805,5488.5,5176.850098,5473.700195,5473.700195,0
